date,city,temperature
6/28/2012,San Francisco,56.6
6/28/2012,Austin,86.7
6/29/2012,New York,79.6
6/29/2012,San Francisco,56.4
6/29/2012,Austin,85.3
6/30/2012,New York,84.2
6/30/2012,San Francisco,58.4
6/30/2012,Austin,81.7
7/1/2012,New York,81.8
7/1/2012,San Francisco,58.8
7/1/2012,Austin,78.5
7/2/2012,New York,82.5
7/2/2012,San Francisco,56.4
7/2/2012,Austin,83.1
7/3/2012,New York,80.2
7/3/2012,San Francisco,56.5
7/3/2012,Austin,83.1
7/4/2012,New York,77.8
7/4/2012,San Francisco,55.8
7/4/2012,Austin,84.5
7/5/2012,New York,86.1
7/5/2012,San Francisco,54.8
7/5/2012,Austin,84.6
7/6/2012,New York,79.9
7/6/2012,San Francisco,54.9
7/6/2012,Austin,84.2
7/7/2012,New York,83.5
7/7/2012,San Francisco,54.7
7/7/2012,Austin,86.7
7/8/2012,New York,81.5
7/8/2012,San Francisco,52.8
7/8/2012,Austin,84.3
7/9/2012,New York,77.8
7/9/2012,San Francisco,53.7
7/9/2012,Austin,83.7
7/10/2012,New York,76.1
7/10/2012,San Francisco,53.1
7/10/2012,Austin,77.1
7/11/2012,New York,76.3
7/11/2012,San Francisco,52.7
7/11/2012,Austin,77.4
7/12/2012,New York,75.8
7/12/2012,San Francisco,52
7/12/2012,Austin,80.6
7/13/2012,New York,77.2
7/13/2012,San Francisco,53.4
7/13/2012,Austin,81.4
7/14/2012,New York,79.3
7/14/2012,San Francisco,54
7/14/2012,Austin,80.2
7/15/2012,New York,78.9
7/15/2012,San Francisco,54
7/15/2012,Austin,81.8
7/16/2012,New York,79.6
7/16/2012,San Francisco,54.5
7/16/2012,Austin,77.3
7/17/2012,New York,83.3
7/17/2012,San Francisco,56.7
7/17/2012,Austin,80.8
7/18/2012,New York,84.3
7/18/2012,San Francisco,57.5
7/18/2012,Austin,81.6
7/19/2012,New York,75.1
7/19/2012,San Francisco,57.1
7/19/2012,Austin,80.9
7/20/2012,New York,68.4
7/20/2012,San Francisco,58.1
7/20/2012,Austin,83.9
7/21/2012,New York,68.4
7/21/2012,San Francisco,57.6
7/21/2012,Austin,85.6
7/22/2012,New York,72.2
7/22/2012,San Francisco,56
7/22/2012,Austin,83.6
7/23/2012,New York,75.6
7/23/2012,San Francisco,56.6
7/23/2012,Austin,84
7/24/2012,New York,82.6
7/24/2012,San Francisco,57.8
7/24/2012,Austin,83
7/25/2012,New York,78.4
7/25/2012,San Francisco,57.5
7/25/2012,Austin,84.8
7/26/2012,New York,77
7/26/2012,San Francisco,56.4
7/26/2012,Austin,84.4
7/27/2012,New York,79.4
7/27/2012,San Francisco,55.3
7/27/2012,Austin,84.3
7/28/2012,New York,77.4
7/28/2012,San Francisco,55
7/28/2012,Austin,83.9
7/29/2012,New York,72.5
7/29/2012,San Francisco,55.6
7/29/2012,Austin,85
7/30/2012,New York,72.9
7/30/2012,San Francisco,55.6
7/30/2012,Austin,84.9
7/31/2012,New York,73.6
7/31/2012,San Francisco,55.9
7/31/2012,Austin,86.3
8/1/2012,New York,75
8/1/2012,San Francisco,55.4
8/1/2012,Austin,86.5
8/2/2012,New York,77.7
8/2/2012,San Francisco,54.4
8/2/2012,Austin,85.8
8/3/2012,New York,79.7
8/3/2012,San Francisco,53.7
8/3/2012,Austin,85.3
